TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
adsorptive,-0.018979981833129243,-0.0494946507260241,-0.026422886963073586,-0.025868911895737118,-0.014012690509186144
adulating,-0.018961539250524538,-0.04947903261763557,-0.026421101338968807,-0.02586734069192384,-0.014012187404925224
adulatory,-0.01897130297072703,-0.04945198662506031,-0.0264209029362905,-0.025868706956109298,-0.014012834253260692
adulterated,-0.018932971328450586,-0.04901087029545255,-0.026391142534544228,-0.025868638642900024,-0.013996950533023064
adulterous,-0.01816633848292173,0.07011720376174571,-0.020570503959669185,-0.02077274648398204,-0.013049748953784558
adumbral,-0.018979981833129243,-0.04946608101555728,-0.026405328326043285,-0.025868911895737118,-0.014012762381223419
aduncal,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
adust,-0.018979620213862482,-0.04949388886707832,-0.026422688560395275,-0.025821297588873936,-0.014012546765111595
advanced,-0.008034972025893407,-0.0053068318706696455,0.032899017844466284,-0.010361813390798743,0.010136170270916987
advancive,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
advantageous,-0.01743707296162463,-0.042523641372119045,-0.023308460920326214,-0.024584623561407417,-0.013243803454425272
adventive,-0.01897937913435131,-0.0494946507260241,-0.02642298616441274,-0.025868911895737118,-0.014012834253260692
adventurous,0.0588887002756191,0.22096527502657645,0.02039964911103202,0.028508402685456475,0.01387351620918258
adversarial,-0.01881725316308774,-0.049429511786159744,-0.02618529975579918,-0.02586829707685366,-0.014011037452328835
adversary,-0.017304479230479702,-0.03928574085254566,-0.02206844418089821,-0.023969804677951713,-0.012661639952503132
advertent,-0.018974919163394617,-0.0494946507260241,-0.026388067293030445,-0.025868843582527844,-0.014012474893074322
advertising,-0.004394671407187215,0.002692687060041075,0.023375689285659227,-0.014392292737897263,0.007548776929040806
advised,-0.013447207051718174,-0.0072114792351245785,-0.009757557991857001,-0.016919881480992945,-0.009398649460248171
adynamic,-0.018960936551746604,-0.04948550841867472,-0.02642258935905612,-0.025868843582527844,-0.014012762381223419
aeolistic,-0.018979981833129243,-0.04949426979655121,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
aerial,-0.014604388705346633,-0.016201414795351865,-0.012435994149021487,-0.022938275217931584,-0.013550697053586696
aeriferous,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
