TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
acrobatical,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.0576711868798016,-0.06206344651866449,-0.05562683166926026
acronarcotic,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
active,0.16981447829793445,0.5411754001160458,0.3262669926459173,0.22614277544994396,0.19723112803787587,0.2298638436079179
acute,-0.01646529394430453,-0.03783069821306729,-0.02074603936412485,-0.02908129157457504,-0.0389492592798376,-0.03165182210790119
adagio,-0.01853796735981457,-0.04770450324719019,-0.05101738896500087,-0.05305941528767172,-0.05636965664227887,-0.05203774103553541
adamantean,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
adaptable,-0.00787947013617332,-0.03586365111642561,-0.05088066200203395,-0.04909436436905695,-0.05007151298047318,-0.04647754761699742
adaptive,-0.01545093501338607,-0.04141766644811975,-0.03945028789799946,-0.02052512906598528,0.06255805612054138,-0.02921100460637264
addicted,0.18551289032405335,8.74491887963925,1.4392244711966435,0.05126316124998736,0.10610904952664456,0.4455273930743322
addisonian,-0.01856562071638366,-0.04889900223901357,-0.05375192822433926,-0.05767056081913024,-0.06206009644224863,-0.05559539693118293
addle-brained,-0.01850862340502728,-0.04883073413389482,-0.05379048522789593,-0.05760503313552787,-0.06195691408864032,-0.055545791646489734
adept,-0.01408638073726958,-0.04450323052128315,-0.0475445241056411,-0.0532054961109891,-0.05611505083467396,-0.05034207539314683
adherent,-0.01840706675491985,-0.04861088769368194,-0.05351128876951748,-0.05717680763631747,-0.06177936003860006,-0.055269586034529236
adhesive,-0.01159878621620766,0.02280063582459363,0.01999859560001721,-0.01572533058555688,0.0156569862985841,0.0020828662742091927
adipose,-0.01848833622640891,-0.04834861474746305,-0.05218503722873836,-0.05701611873066835,-0.06187651225465983,-0.054856570740382395
adjustable,-0.00674435418966934,-0.03042534443747511,-0.04027064967580097,-0.0393695552739281,0.1764606542595805,-0.029202475894218382
adjuvant,-0.018405859184764,-0.04893602900789153,-0.05217683361096034,-0.05766951738467797,-0.06206210648809814,-0.05521112162290699
admirable,0.01778139567575185,0.23416177483628692,0.09328424775028615,-0.05767139556669205,0.01632700158175492,0.01743031236027522
admonitory,-0.01856163573486933,-0.04893680039890982,-0.05381536953515591,-0.0576711868798016,-0.06206277650338131,-0.05562153332931216
adorable,-0.00129821278676192,0.26154615598561215,0.19883746316074816,-0.05767139556669205,0.775454317414292,0.10035350269822658
adread,-0.01856646601549275,-0.04893757178992811,-0.05383122986286007,-0.0576711868798016,-0.06206411653394766,-0.05562602626663436
adream,-0.01851973305046115,-0.04842189689420068,-0.05318861313691555,-0.05657787626071619,-0.06101956270748435,-0.054801987249829195
adrift,-0.01804117299769569,-0.04265189207738511,-0.04557565583891746,-0.04803006122774456,-0.04966950381057069,-0.04648177823865446
adroit,-0.01788298130727865,-0.04823290609471942,-0.05038844493535303,-0.05737923392005728,-0.06079175751120627,-0.054198085615334
adroop,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
adrowse,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
adsorptive,-0.01856646601549275,-0.04893872887645555,-0.05383259713248974,-0.05767139556669205,-0.06206344651866449,-0.055626542023575455
adulating,-0.01854799019210817,-0.04892291536058058,-0.05382767496182293,-0.05766659576821163,-0.06205875641168229,-0.05561898562557436
adulatory,-0.01855777151037059,-0.04889553097943126,-0.05382712805397106,-0.05767076950602069,-0.06206478654923083,-0.055614553772163455
adulterated,-0.01851937077941439,-0.04844889557984085,-0.05374509187619091,-0.05767056081913024,-0.06191671317165008,-0.055445315361703024
adulterous,-0.01775135616029042,0.07216966099520813,-0.03770018277202289,-0.04210335353886776,-0.05308658175474186,-0.03766036855648073
adumbral,-0.01856646601549275,-0.04890980171326964,-0.05378419578759945,-0.05767139556669205,-0.06206411653394766,-0.0556073774003772
aduncal,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
adust,-0.018566103744446,-0.04893795748543726,-0.05383205022463788,-0.05752594080404603,-0.06206210648809814,-0.05558951375055483
advanced,-0.0076017290003266,-0.00419804981558616,0.10969148330631652,-0.01029947143376825,0.16306034859616414,0.021898058264158877
advancive,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
advantageous,-0.01702077621599796,-0.04188050105909426,-0.04524751112779685,-0.05374808202616797,-0.05489562301930307,-0.048942929308090535
adventive,-0.01856586223041483,-0.04893872887645555,-0.05383287058641568,-0.05767139556669205,-0.06206478654923083,-0.05562694539469853
adventurous,0.05944256605275979,0.2249050826167967,0.07523628863865277,0.10844336923422138,0.1979011433210467,0.11025584181167015
adversarial,-0.01840344404445229,-0.04887277494439168,-0.05317767497987819,-0.05766951738467797,-0.06204803616715156,-0.05544200086902484
adversary,-0.01688794349885388,-0.03860208923135814,-0.04182933705362386,-0.05186990001208729,-0.04946849922561944,-0.04544245638067218
advertent,-0.01856139422083816,-0.04893872887645555,-0.05373661480448696,-0.0576711868798016,-0.06206143647281497,-0.05560199175838977
advertising,-0.00395486712964359,0.00390155587646777,0.08343990641666794,-0.02261199797051937,0.13893979840201467,0.015193649298243189
