TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
affrighted,-0.13089635922760687,-0.05735587263404873,-0.05088313651322543,-0.04887958032210561,-0.0587055140074763,-0.07446022059558934
affronted,-0.1280794205847372,-0.05572564641695098,-0.05047287525268825,NA,NA,-0.0919025335008441
affrontive,NA,NA,NA,NA,NA,NA
afire,NA,NA,NA,NA,NA,NA
aflame,NA,NA,NA,NA,NA,NA
aflare,NA,NA,NA,NA,NA,NA
aflaunt,NA,NA,NA,NA,NA,NA
aflow,NA,NA,NA,NA,NA,NA
aflush,NA,NA,NA,NA,NA,NA
aflutter,NA,NA,NA,NA,NA,NA
afraid,-0.1276886507170544,-0.0572358012698102,-0.05029936866425227,NA,-0.05883587874960598,-0.08125344357882353
afrown,NA,NA,NA,NA,NA,NA
afterwise,NA,NA,NA,NA,NA,NA
afterwitted,NA,NA,NA,NA,NA,NA
agacant,NA,NA,NA,NA,NA,NA
agasp,NA,NA,NA,NA,NA,NA
agathokakological,NA,NA,NA,NA,NA,NA
agensic,NA,NA,NA,NA,NA,NA
agglomerative,NA,NA,NA,NA,NA,NA
agglutinative,NA,NA,NA,NA,NA,NA
aggravating,-0.12300193408445344,-0.05065517170346691,-0.04378505491681107,-0.04922412406345878,-0.05858328898344647,-0.0703661297087064
aggravative,NA,NA,NA,NA,NA,NA
aggregative,NA,NA,NA,NA,NA,NA
aggressive,0.19698843835903712,0.00466623558063207,-0.00483883961048571,-0.03972816009498933,-0.03214768880292058,-0.018012113231940886
aggrieved,0.8664298439794383,-0.05058471920722987,-0.04607071279937313,-0.04961228123983909,-0.05945923903145962,-0.05143173806947543
aghast,NA,NA,NA,NA,NA,NA
agile,-0.10745322394728564,-0.05133550419797952,-0.03663474655813035,-0.04769153133005039,-0.05333216497966758,-0.06495310611374579
agitable,NA,NA,NA,NA,NA,NA
agitated,-0.08700793528127303,-0.03536571396841243,-0.030174717693334,-0.04273038997313659,-0.05423743801240895,-0.05483536930880775
agitating,NA,-0.057785985647197,-0.05104236675572402,NA,NA,-0.057785985647197
agitative,NA,NA,NA,NA,NA,NA
aglossate,NA,NA,NA,NA,NA,NA
agnostical,NA,NA,NA,NA,NA,NA
agog,NA,NA,NA,NA,NA,NA
agonistical,NA,NA,NA,NA,NA,NA
agonized,-0.1301999208897944,-0.05485057423878715,-0.0482993418269094,-0.04804255090957692,-0.05915324584237284,-0.07312577069946595
agonizing,NA,-0.05710148881404773,-0.05007714189240551,NA,NA,-0.05710148881404773
agreeable,0.01630542226146849,-0.02412892080960602,-0.00337539708016966,-0.04155772027539105,-0.05564902991460389,-0.031177767019942654
agrestial,NA,NA,NA,NA,NA,NA
agrestic,NA,NA,NA,NA,NA,NA
agrodolce,NA,NA,NA,NA,NA,NA
ahungered,NA,NA,NA,NA,NA,NA
ahungry,NA,NA,NA,NA,NA,NA
aidant,NA,NA,NA,NA,NA,NA
ailing,-0.04915620975942259,-0.02033329922979743,-0.02308651837630742,-0.04471074083091612,-0.05312118335886263,-0.04251866308137719
aimful,NA,NA,NA,NA,NA,NA
aiming,NA,NA,NA,NA,NA,NA
aimless,-0.1277812548743004,-0.05722693299946523,-0.04950323036174865,-0.04982672628233649,-0.05823181890263988,-0.0732666832646855
air-monger,NA,NA,NA,NA,NA,NA
airy,-0.12894381015942005,-0.05765210051310809,-0.0502405061674606,-0.04937204209940354,NA,-0.07894547227999625
ajangle,NA,NA,NA,NA,NA,NA
ajar,NA,NA,NA,NA,NA,NA
alacrious,NA,NA,NA,NA,NA,NA
alacritous,NA,NA,NA,NA,NA,NA
alambique,NA,NA,NA,NA,NA,NA
alamort,NA,NA,NA,NA,NA,NA
alar,NA,NA,NA,NA,NA,NA
alarmable,NA,NA,NA,NA,NA,NA
alarmed,-0.13026051276637193,-0.05553168134159082,-0.04993385540209705,-0.04924655742777945,-0.05934953054604565,-0.07376889501402636
alarmist,NA,NA,NA,NA,NA,NA
alchemistic,NA,NA,NA,NA,NA,NA
alcoholic,-0.09182958931831728,-0.028587019694777,-0.03219617088021254,-0.04955191234262259,-0.05977842725517011,-0.05833902494908063
aldermanic,NA,NA,-0.05109974765134462,NA,NA,NA
alert,-0.07846842488459665,-0.05072220632837738,-0.04075936258250703,-0.04626509849741966,-0.05430440039828273,-0.0574400325271691
alexipharmic,NA,NA,NA,NA,NA,NA
algefacient,NA,NA,NA,NA,NA,NA
algid,NA,NA,NA,NA,NA,NA
alien,-0.1072130749196494,0.01270278489935652,-0.04030632495409238,-0.02041723575061461,-0.03454031806159359,-0.050619238421487495
alive,-0.04883369119052435,-0.04953140404479778,-0.04254967475571302,-0.04638439047331981,-0.05561726783353387,-0.05009168838554395
all-round,-0.12488635214317186,-0.0574621391212209,-0.04455059612127964,-0.04954534720108174,-0.05853700125814687,-0.07260770993090535
allaying,NA,NA,NA,NA,NA,NA
alleviating,NA,NA,-0.05073800009904431,NA,NA,NA
alleviative,NA,NA,NA,NA,NA,NA
allicient,NA,NA,NA,NA,NA,NA
allocryptic,NA,NA,NA,NA,NA,NA
allosematic,NA,NA,NA,NA,NA,NA
alluring,-0.12323303850112634,3.7003801901491816e-4,-0.04748738589505148,-0.04491752262899341,-0.059050362954459,-0.06867207749490756
almighty,-0.12709962114407536,NA,-0.04892005213950214,NA,NA,-0.12709962114407536
alone,-0.10758144663025848,-0.0468464268316819,-0.03449022096131524,-0.04744577981232054,-0.05682208015197469,-0.0646739333565589
