TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
alambique,[alambique person],NA,NA,NA,NA,NA
alamort,[alamort person],NA,NA,NA,NA,NA
alar,[alar person],NA,NA,NA,NA,NA
alarmable,[alarmable person],NA,NA,NA,NA,NA
alarmed,[alarmed person],-0.13026051276637193,-0.05553168134159082,-0.049933855402097056,-0.04924655742777945,-0.05934953054604565
alarmist,[alarmist person],NA,NA,NA,NA,NA
alchemistic,[alchemistic person],NA,NA,NA,NA,NA
alcoholic,[alcoholic person],-0.09182958931831728,-0.028587019694777005,-0.032196170880212545,-0.04955191234262259,-0.05977842725517011
aldermanic,[aldermanic person],NA,NA,-0.05109974765134462,NA,NA
alert,[alert person],-0.07846842488459665,-0.05072220632837738,-0.04075936258250703,-0.04626509849741966,-0.054304400398282736
alexipharmic,[alexipharmic person],NA,NA,NA,NA,NA
algefacient,[algefacient person],NA,NA,NA,NA,NA
algid,[algid person],NA,NA,NA,NA,NA
alien,[alien person],-0.1072130749196494,0.01270278489935652,-0.040306324954092386,-0.020417235750614618,-0.03454031806159359
alive,[alive person],-0.04883369119052435,-0.049531404044797785,-0.04254967475571302,-0.04638439047331981,-0.05561726783353387
all-round,[all - round person],-0.12488635214317186,-0.057462139121220904,-0.04455059612127964,-0.04954534720108174,-0.05853700125814687
allaying,[allaying person],NA,NA,NA,NA,NA
alleviating,[alleviating person],NA,NA,-0.05073800009904431,NA,NA
alleviative,[alleviative person],NA,NA,NA,NA,NA
allicient,[allicient person],NA,NA,NA,NA,NA
allocryptic,[allocryptic person],NA,NA,NA,NA,NA
allosematic,[allosematic person],NA,NA,NA,NA,NA
alluring,[alluring person],-0.12323303850112634,3.7003801901491816e-4,-0.04748738589505148,-0.044917522628993414,-0.059050362954459
almighty,[almighty person],-0.12709962114407536,NA,-0.048920052139502145,NA,NA
alone,[alone person],-0.10758144663025848,-0.0468464268316819,-0.03449022096131524,-0.04744577981232054,-0.05682208015197469
aloof,[aloof person],-0.11066643798527787,-0.05102829887912649,-0.04183290650335488,-0.046772970631068125,-0.058049813252769214
alterable,[alterable person],NA,NA,NA,NA,NA
altercating,[altercating person],NA,NA,NA,NA,NA
altercative,[altercative person],NA,NA,NA,NA,NA
altered,[altered person],-0.1144062901055808,-0.05372126555660999,-0.03620062664962708,-0.049812227596885326,-0.060383650268544156
altiloquent,[altiloquent person],NA,NA,NA,NA,NA
altisonant,[altisonant person],NA,NA,NA,NA,NA
altitudinarian,[altitudinarian person],NA,NA,NA,NA,NA
altruistic,[altruistic person],-0.06864777599009986,-0.05395572907239599,-0.047485406645536875,-0.049839045368274056,NA
amain,[amain person],NA,NA,NA,NA,NA
amative,[amative person],NA,NA,NA,NA,NA
amatory,[amatory person],NA,NA,NA,NA,NA
amazed,[amazed person],-0.1286410771782096,-0.05606668585368947,-0.04893353355460905,-0.04851053340928569,-0.05674325206451485
amazing,[amazing person],0.6417389958818098,0.6051923004941951,0.15274887129243198,0.05284725290843921,-0.02161882009279068
ambagious,[ambagious person],NA,NA,NA,NA,NA
ambidextrous,[ambidextrous person],-0.1249093875472181,NA,-0.050701586140759175,NA,NA
ambiguous,[ambiguous person],-0.11736966036985988,-0.052529475120912876,-0.04772058912079312,-0.04949740550959888,-0.05847167649653539
ambitious,[ambitious person],0.11551763013070121,0.0789858525509889,0.1658747043757504,-0.006916723009170847,-0.018868081534770764
ambivalent,[ambivalent person],-0.10970221887509117,-0.0561840583164873,-0.04825609293931249,NA,-0.06001679254081881
ambling,[ambling person],NA,NA,-0.05075287562368954,NA,NA
ameliorative,[ameliorative person],NA,NA,NA,NA,NA
amenable,[amenable person],-0.1231822291531862,-0.056626104568194426,-0.04993315473535272,-0.04900074020188624,-0.059734137678273694
amending,[amending person],NA,NA,NA,NA,NA
amiable,[amiable person],-0.0406169141650965,-0.004952679342700054,0.016655996360476058,-0.026284383365878863,-0.043239662392066884
amicable,[amicable person],-0.12457323762116979,-0.05706216515719322,-0.04877038402276476,NA,NA
amiss,[amiss person],NA,NA,NA,NA,NA
amnesic,[amnesic person],-0.12284538613155424,-0.05678777830668389,-0.05074164816573946,NA,NA
amoeboid,[amoeboid person],NA,NA,NA,NA,NA
amoral,[amoral person],-0.10300227580639043,-0.053549121735056465,-0.04491259786633197,-0.04908935423100389,NA
amorevolous,[amorevolous person],NA,NA,NA,NA,NA
amorous,[amorous person],-0.1238289188370643,-0.03648310397981505,-0.03441049507517919,-0.04873283129412186,-0.05709278069782328
amorphic,[amorphic person],NA,NA,NA,NA,NA
amorphous,[amorphous person],-0.12991021323670304,NA,-0.050953645203118986,NA,NA
amort,[amort person],NA,NA,NA,NA,NA
amphibious,[amphibious person],-0.13038654775900776,NA,-0.04968971579280999,NA,-0.06038440067789496
amplifying,[amplifying person],NA,NA,-0.05105641334617884,NA,NA
ampullous,[ampullous person],NA,NA,NA,NA,NA
