TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
aflow,[aflow person],NA,NA,NA,NA,NA
aflush,[aflush person],NA,NA,NA,NA,NA
aflutter,[aflutter person],NA,NA,NA,NA,NA
afraid,[afraid person],-0.12787212741441573,-0.05730046785160745,-0.05035979756921753,NA,-0.05892821517824804
afrown,[afrown person],NA,NA,NA,NA,NA
afterwise,[afterwise person],NA,NA,NA,NA,NA
afterwitted,[afterwitted person],NA,NA,NA,NA,NA
agacant,[agacant person],NA,NA,NA,NA,NA
agasp,[agasp person],NA,NA,NA,NA,NA
agathokakological,[agathokakological person],NA,NA,NA,NA,NA
agensic,[agensic person],NA,NA,NA,NA,NA
agglomerative,[agglomerative person],NA,NA,NA,NA,NA
agglutinative,[agglutinative person],NA,NA,NA,NA,NA
aggravating,[aggravating person],-0.12319113612045593,-0.05072726529522583,-0.04385820316289942,-0.04930172372245008,-0.05867742320072062
aggravative,[aggravative person],NA,NA,NA,NA,NA
aggregative,[aggregative person],NA,NA,NA,NA,NA
aggressive,[aggressive person],0.1963419393111951,0.004507384122596152,-0.004946697438959386,-0.03982226521128798,-0.03229809776083916
aggrieved,[aggrieved person],0.8656679171826246,-0.05065248018103385,-0.04614065081561804,-0.049689284000300926,-0.059551321272223276
aghast,[aghast person],NA,NA,NA,NA,NA
agile,[agile person],-0.1076865144834812,-0.051416690566683125,-0.03671780519748092,-0.0477719903384087,-0.053435520631918594
agitable,[agitable person],NA,NA,NA,NA,NA
agitated,[agitated person],-0.0872634910561222,-0.03546175386078832,-0.030264959364486303,-0.042814962634471036,-0.054340834033657436
agitating,[agitating person],NA,-0.057849262052861554,-0.05110191710756104,NA,NA
agitative,[agitative person],NA,NA,NA,NA,NA
aglossate,[aglossate person],NA,NA,NA,NA,NA
agnostical,[agnostical person],NA,NA,NA,NA,NA
agog,[agog person],NA,NA,NA,NA,NA
agonistical,[agonistical person],NA,NA,NA,NA,NA
agonized,[agonized person],-0.13037938248237815,-0.054918152983499724,-0.04836364211590165,-0.04812312555399731,-0.059244172739441076
agonizing,[agonizing person],NA,-0.057165796220191425,-0.05013775204448392,NA,NA
agreeable,[agreeable person],0.015681132634445108,-0.024243986731991626,-0.0035096007687291453,-0.041658422196029776,-0.055749217250664986
agrestial,[agrestial person],NA,NA,NA,NA,NA
agrestic,[agrestic person],NA,NA,NA,NA,NA
agrodolce,[agrodolce person],NA,NA,NA,NA,NA
ahungered,[ahungered person],NA,NA,NA,NA,NA
ahungry,[ahungry person],NA,NA,NA,NA,NA
aidant,[aidant person],NA,NA,NA,NA,NA
ailing,[ailing person],-0.049435131836679226,-0.020452147738976495,-0.023152739765150754,-0.044797773716046096,-0.053228561530700456
aimful,[aimful person],NA,NA,NA,NA,NA
aiming,[aiming person],NA,NA,NA,NA,NA
aimless,[aimless person],-0.12796651953950017,-0.057290593879499294,-0.04956516764567846,-0.04990312475043952,-0.05832506206428769
air-monger,[air - monger person],NA,NA,NA,NA,NA
airy,[airy person],-0.12912382420038385,-0.05771587579059571,-0.050301186567765006,-0.04944897397414852,NA
ajangle,[ajangle person],NA,NA,NA,NA,NA
ajar,[ajar person],NA,NA,NA,NA,NA
alacrious,[alacrious person],NA,NA,NA,NA,NA
alacritous,[alacritous person],NA,NA,NA,NA,NA
alambique,[alambique person],NA,NA,NA,NA,NA
alamort,[alamort person],NA,NA,NA,NA,NA
alar,[alar person],NA,NA,NA,NA,NA
alarmable,[alarmable person],NA,NA,NA,NA,NA
alarmed,[alarmed person],-0.130439879253455,-0.05559823011568302,-0.04999516951210421,-0.0493241987608672,-0.059441792147886294
alarmist,[alarmist person],NA,NA,NA,NA,NA
alchemistic,[alchemistic person],NA,NA,NA,NA,NA
alcoholic,[alcoholic person],-0.09205460649601385,-0.02868435288714032,-0.032288166049241826,-0.04962895312794512,-0.05987056895246131
aldermanic,[aldermanic person],NA,NA,-0.051159217814990714,NA,NA
alert,[alert person],-0.07871099244998726,-0.050798544857190056,-0.04083466448219933,-0.04634837252036863,-0.054407697743281754
alexipharmic,[alexipharmic person],NA,NA,NA,NA,NA
algefacient,[algefacient person],NA,NA,NA,NA,NA
algid,[algid person],NA,NA,NA,NA,NA
alien,[alien person],-0.10741477957793513,0.012435774744355067,-0.040380992788263896,-0.02054857842015094,-0.034686087390279244
alive,[alive person],-0.04913479325686512,-0.049612499686801655,-0.04262399072846639,-0.04646760349340381,-0.055717377388939116
all-round,[all - round person],-0.12507325788729098,-0.05752605013746309,-0.04461620121053067,-0.04962305119477989,-0.05863030020536634
allaying,[allaying person],NA,NA,NA,NA,NA
alleviating,[alleviating person],NA,NA,-0.05079783026997693,NA,NA
alleviative,[alleviative person],NA,NA,NA,NA,NA
allicient,[allicient person],NA,NA,NA,NA,NA
allocryptic,[allocryptic person],NA,NA,NA,NA,NA
allosematic,[allosematic person],NA,NA,NA,NA,NA
